=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  52993 root      20   0       0      0      0 I   0.0   0.0   0:00.19 kworker+
  53319 azizelo   20   0    8844   5632   3840 S   0.0   0.0   0:00.01 bash
  54250 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  54253 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
  54909 azizelo   20   0    5684   1920   1920 S   0.0   0.0   0:00.00 sleep
  55036 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  55042 azizelo   20   0    7340   3584   3328 S   0.0   0.0   0:00.00 bash
  55043 azizelo   20   0    2800   1664   1664 S   0.0   0.0   0:00.00 sh
  55045 azizelo   20   0    7340   3456   3200 S   0.0   0.0   0:00.00 cpuUsag+
  55050 azizelo   20   0    5684   1920   1920 S   0.0   0.0   0:00.00 sleep
  55058 root      20   0   17280   7552   6784 S   0.0   0.0   0:00.06 systemd+
  55086 azizelo   20   0    7340   2124   1920 S   0.0   0.0   0:00.00 bash
  55087 azizelo   20   0    5696   1920   1920 S   0.0   0.0   0:00.00 head

=== Exit: 0
